Stock Name,Ticker,Trendlyne ID,Research Report URL,MarketCap,Industry Name,Sector Name,BSE Ticker
Cg Power And Industrial Solutions Ltd,CGPOWER,293,https://trendlyne.com/research-reports/stock/293/CGPOWER/,1.07E+12,,,
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,93,https://trendlyne.com/research-reports/stock/93/APOLLOHOSP/,1.05E+12,,,
Lupin Ltd,LUPIN,804,https://trendlyne.com/research-reports/stock/804/LUPIN/,1.04E+12,,,
Polycab India Ltd,POLYCAB,139599,https://trendlyne.com/research-reports/stock/139599/POLYCAB/,1.04E+12,Wires & Cables,Consumer Durables,542652
Ambuja Cements Ltd,AMBUJACEM,71,https://trendlyne.com/research-reports/stock/71/AMBUJACEM/,1.03E+12,,,
Billionbrains Garage Ventures Ltd,GROWW,3313690,https://trendlyne.com/research-reports/stock/3313690/GROWW/,1.03E+12,Capital Markets,Banking and Finance,544603
Tata Consumer Products Ltd,TATACONSUM,1359,https://trendlyne.com/research-reports/stock/1359/TATACONSUM/,1.03E+12,,,
Godrej Consumer Products Ltd,GODREJCP,476,https://trendlyne.com/research-reports/stock/476/GODREJCP/,1.02E+12,Personal Products,FMCG,532424
Dr Reddy S Laboratories Ltd,DRREDDY,346,https://trendlyne.com/research-reports/stock/346/DRREDDY/,1.01E+12,,,
Hdfc Asset Management Company Ltd,HDFCAMC,94155,https://trendlyne.com/research-reports/stock/94155/HDFCAMC/,1.01E+12,Asset Management Cos.,Banking and Finance,541729
Hero Motocorp Ltd,HEROMOTOCO,540,https://trendlyne.com/research-reports/stock/540/HEROMOTOCO/,1.00E+12,,,
Bajaj Holdings Investment Ltd,BAJAJHLDNG,149,https://trendlyne.com/research-reports/stock/149/BAJAJHLDNG/,1.00E+12,,,
Marico Ltd,MARICO,840,https://trendlyne.com/research-reports/stock/840/MARICO/,9.88E+11,Personal Products,FMCG,531642
Ge Vernova T D India Ltd,GVT&D,67,https://trendlyne.com/research-reports/stock/67/GVT&D/,9.79E+11,Industrial Machinery,General Industrials,522275
Cipla Ltd,CIPLA,268,https://trendlyne.com/research-reports/stock/268/CIPLA/,9.63E+11,,,
Bosch Ltd,BOSCHLTD,214,https://trendlyne.com/research-reports/stock/214/BOSCHLTD/,9.48E+11,,,
Gmr Airports Ltd,GMRAIRPORT,472,https://trendlyne.com/research-reports/stock/472/GMRAIRPORT/,9.38E+11,Construction & Engineering,Cement and Construction,532754
Gail India Ltd,GAIL,431,https://trendlyne.com/research-reports/stock/431/GAIL/,9.32E+11,Utilities:Non-Electrical,Utilities,532155
Siemens Energy India Ltd,ENRIN,3145560,https://trendlyne.com/research-reports/stock/3145560/ENRIN/,9.30E+11,Green & Renewable Energy,Utilities,544390
Vodafone Idea Ltd,IDEA,589,https://trendlyne.com/research-reports/stock/589/IDEA/,9.30E+11,Telecom Services,Telecom Services,532822
Max Healthcare Institute Ltd,MAXHEALTH,276825,https://trendlyne.com/research-reports/stock/276825/MAXHEALTH/,9.19E+11,Healthcare Facilities,Healthcare,543220
Mazagon Dock Shipbuilders Ltd,MAZDOCK,305195,https://trendlyne.com/research-reports/stock/305195/MAZDOCK/,9.13E+11,Aerospace & Defence,General Industrials,543237
Lg Electronics India Ltd,LGEINDIA,3280897,https://trendlyne.com/research-reports/stock/3280897/LGEINDIA/,8.95E+11,Consumer Electronics,Consumer Durables,544576
